ROW_ID,BILL_TO_NAME,BILL_TO_ACCOUNT,STD_RCPT_NO,Address_SITE_NUMBER,BUSINESS_UNIT,TXN_SOURCE,TXN_TYPE,RATE_IS_CORPORATE,REC_ACTIVITY_NAME_BANK,SUBINVENTORY,INTEGRATION_SOURCE,DISTRIBUTION_ACC_ID,REC_ACTIVITY_NAME_CASH,REGION,CUSTOMER_TYPE,COST_CENTER_CODE
236776,Hungerstation,45014,73048,548163,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKMYANYRD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1407
236781,Hungerstation,45014,73049,548164,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDDARIMAN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,306
236786,Hungerstation,45014,73050,548165,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDALHIJRA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,309
236791,Hungerstation,45014,73051,548166,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDMVNPICK,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,307
236796,Hungerstation,45014,73052,548167,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RYDALYAPLZ,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,125
2366841,Hungerstation,45014,74015,561132,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SMARTSHRYD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1405
2366846,Hungerstation,45014,74016,561133,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HAMDANYA2,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1005
2366851,Hungerstation,45014,74017,561134,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TAIBAMED,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1303
2366861,Hungerstation,45014,74019,561136,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ALAQEQRYD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0123
2366866,Hungerstation,45014,74020,561137,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,AZIZIARYD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0124
2366871,Hungerstation,45014,74021,561138,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,THEGATERYD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1004
2366876,Hungerstation,45014,74022,561139,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ALMALGARYD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1003
2366881,Hungerstation,45014,74023,561140,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MEDTHEGATE,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0221
236811,Hungerstation,45014,80003,574120,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,HILTONMAK2,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1408
23731501,Hungerstation,45014,84008,586123,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHAMISKKHD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0506
23731511,Hungerstation,45014,87006,611138,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,ABHATIMSQR,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0507
23731518,Hungerstation,45014,90004,624124,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,TOWNSQJED,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,227
23731531,Hungerstation,45014,92004,633122,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,KHOQOSAIBI,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,402
23731541,Hungerstation,45014,95004,636134,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SAMTAHMALL,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1306
23731556,Hungerstation,45014,96022,639138,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,WATANIYAHB,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0804
2368261,Hungerstation,45014,82008,577127,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,SABIAYASMN,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1304
2369261,Hungerstation,45014,82009,577128,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MAKAHMEJAZ,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1409
2370261,Hungerstation,45014,82010,577129,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAJKINGROD,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1307
2371261,Hungerstation,45014,82011,577131,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,NAJRANPLZA,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1308
23731506,Hungerstation,45014,87005,611137,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,RYDSAWARIP,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,0131
23731561,Hungerstation,45014,96021,639137,AlQurashi-KSA,Vend,Vend Invoice,1,Bank Charge,MILAQROTAB,Vend HQ,,Cash Rounding,SA,HUNGERSTATION,1503
